Title,Views,Votes,Rating
Em Chưa 18,145669,88,7.92
Lật Mặt 2,114812,32,8.74
Guardians Of The Galaxy Vol.2,84823,26,7.38
Your Name,68094,20,9.14
Tây Du Ký 2,67146,16,7.53
Tấm Cám – Chuyện Chưa Kể,66983,43,7.95
Phù Thủy Tối Thượng,66969,25,9.23
Me Before You,64522,24,8.75
Biệt Đội Cảm Tử,63118,47,8.53
Nắng,61919,22,9.33
Mỹ Nhân Ngư,59972,23,8.09
Cướp Biển Vùng Caribe 5,59883,39,9.03
Train To Busan,54894,55,8.72
Wonder Woman,54117,36,7.22
IT,53069,24,8.86
Fifty Shades Darker,50981,6,7
Cô Hầu Gái,50126,22,7.58
Kong,48560,43,11.37
Logan,46829,46,9.39
Annabelle 2,42857,11,8.27
Split,42471,26,8.81
"[Preview] Tây Du Ký 2: Châu Tinh Trì ""Gặp Lại"" Tôn Ngộ Không",42269,13,8.26
Dạ Cổ Hoài Lang,41012,11,9
Avengers 2,39715,3,8.67
Beauty And The Beast,39144,11,7.27
[Preview] Gods of Egypt: Thần Loại Ai Cập Đóng Mác Hollywood,38892,20,8.24
Bạn Gái Tôi Là Sếp,37737,10,7.65
Dị Nhân Chống Khải Huyền,37328,20,9.24
Nội Chiến Siêu Anh Hùng,37071,29,9.23
xXx Phản Đòn,36402,6,8.33
Alien Covenant,36027,9,8.49
Kingsman The Golden Cirle,35916,9,8.84
Chị Chị Em Em 2,35120,0,N/A
Fast 8,34699,11,8.18
Tôi Thấy Hoa Vàng Trên Cỏ Xanh,34575,10,8.42
The Conjuring 2,34166,27,8.62
John Wick,34140,39,9.03
Avengers Infinity War,33767,1,10
Now You See Me 2,33739,24,9.52
Venom,32926,0,N/A
Chờ Em Đến Ngày Mai,32808,12,4.08
La La Land,32014,15,9.07
Mái Ấm Lạ Kỳ Của Cô Peregrine,30339,9,8.49
Cô Gái Đến Từ Hôm Qua,30266,22,9.24
"Love, Simon",28441,1,10
Người Bất Tử,27624,0,N/A
Don’t Breathe,27485,10,8.1
Mad Max 4,27437,1,10
Thor Ragnarok,27382,12,8.63
Sing,27257,23,9.43
Fast & Furious 7,27100,2,8
Cô Ba Sài Gòn,26309,5,6.84
Bad Genius,26158,14,8.89
Captain Marvel,25841,9,7.44
Black Panther,25244,0,N/A
Moana,24463,8,7.81
4 Năm 2 Chàng 1 Tình Yêu,24291,18,6.6
Lights Out,24175,13,8.62
798Mười,24085,0,N/A
The Meg,23785,0,N/A
Detective Conan – The Darkest Nightmare,23690,11,9.18
Tháng Năm Rực Rỡ,23531,0,N/A
Bao Giờ Có Yêu Nhau,23187,13,7.37
Cua Lại Vợ Bầu,22989,4,7.25
Mission,22299,0,N/A
Chàng Vợ Của Em,22153,0,N/A
Hoán Đổi,22040,0,N/A
Happy Death Day,22031,6,8
Bad Times At The El Royale,21892,0,N/A
Along With The Gods 2,21888,1,10
[Preivew] Ice Age: Phim Hoạt Hình Sống 3D “Dai” Nhất Lịch Sử,21876,6,8.67
Nhắm Mắt Thấy Mùa Hè,21783,0,N/A
The Mummy,21761,9,7.33
Jurassic World Fallen Kingdom,21688,0,N/A
Spider-Man Into The Spider-Verse,21605,1,10
Lật Mặt Ba Chàng Khuyết,21590,0,N/A
Bỗng Dưng Trúng Số,21572,0,N/A
Chị Trợ Lý Của Anh,21524,3,8.67
Cho Em Gần Anh Thêm Chút Nữa,21408,10,7.93
Ngày Mai Mai Cưới,21385,7,5.71
Tiệc Trăng Máu,21248,0,N/A
John Wick 3,21145,12,8.75
Incredibles 2,20985,1,9
Khách Sạn Huyền Bí 3,20821,1,8
The Secret Life Of Pets,20799,6,10
Diệp Vấn 3,20703,5,9.6
Yêu Đi Đừng Sợ,20609,9,6.07
Người Nhện,20486,0,N/A
"Bỏ Qua Mọi Ồn Ào, Thất Sơn Tâm Linh Là Bộ Phim Như Thế Nào?",20444,0,N/A
Avengers Endgame,20246,27,6.93
The Boss Baby,20180,11,9
Fantastic Beasts And Where To Find Them,20096,38,9.36
Angry Birds,19981,6,8.83
Insidious 3,19742,3,9.33
Resident Evil The Final Chapter,19723,12,8.32
The Shape of Water,19492,0,N/A
Trùm Hương Cảng,19475,6,8.67
Skyscraper,19390,0,N/A
Fantastic Beasts 2,19320,0,N/A
A Quiet Place,19291,0,N/A
Hồn Papa Da Con Gái,19289,2,7.5
Aquaman,19261,2,8.5
Siêu Sao Siêu Ngố,19194,0,N/A
[Preview] Hùng Ali: Phim Đầu Tay Tâm Huyết Của Ưng Hoàng Phúc,19085,8,7.25
Toy Story 4,19025,0,N/A
Sài Gòn Anh Yêu Em,18875,8,8.51
Pacific Rim Uprising,18835,0,N/A
100 Ngày Bên Em,18692,0,N/A
The Nun,18550,0,N/A
Ông Ngoại Tuổi 30,18547,0,N/A
Vua Sư Tử,18546,0,N/A
Searching,18465,0,N/A
Brother Of The Year,18426,0,N/A
Men In Black International,18369,0,N/A
Before I Wake,18316,12,8.35
Chí Phèo Ngoại Truyện,18198,6,8.5
Hobbs & Shaw,18150,0,N/A
Dark Phoenix,18036,4,1
Deadpool 2,17993,0,N/A
Jurassic World,17957,1,8
Flatliners,17904,3,9.67
Kung Fu Panda 3,17901,5,9.44
Vu Quy Đại Náo,17816,4,9.75
Rampage,17800,0,N/A
Lật Mặt Nhà Có Khách,17771,53,6.3
Joker,17760,0,N/A
Peter Rabbit,17681,0,N/A
Actress Wanted,17648,0,N/A
Điệp Vụ Tam Giác Vàng,17626,4,6.78
Đôi Mắt Âm Dương,17484,0,N/A
[Preview] The Huntsman Winter's War: Phim Nữ Quyền Dưới Lốt Cổ Tích Đen Tối Cải Biên,17408,8,6.6
Thám Tử Hên Ry,17395,3,6
Smallfoot,17235,0,N/A
Once Upon A Time... In Hollywood,17187,0,N/A
Thạch Thảo,16990,0,N/A
Vợ Ơi… Em Ở Đâu?,16989,12,7.14
Ant-Man And The Wasp,16975,1,10
It Chapter Two,16965,0,N/A
Finding Dory,16897,13,8.52
Nhà Bà Nữ,16786,0,N/A
Shazam!,16618,20,7.45
Lô Tô,16404,8,8
Coco,16090,0,N/A
Bleeding Steel,16017,0,N/A
Aladdin,15973,11,6.27
Mắt Biếc,15853,0,N/A
[Preview] Zootopia: Thành Phố Động Vật Vui Nhộn & Sáng Tạo,15798,21,8.76
Alpha,15609,0,N/A
"Trời Sáng Rồi, Ta Ngủ Đi Thôi",15586,0,N/A
Spider-Man,15577,7,7.74
Train To Busan 2 - Peninsula,15326,0,N/A
Fan Cuồng,15207,2,7.5
Ice Age,15092,3,9.67
Blade Runner 2049,15050,4,6.28
Independence Day- Resurgence,14937,7,9.17
Doraemon Nobita's Sky Utopia 2023,14924,0,N/A
Life,14906,6,9.33
Allied,14878,2,9.5
War For The Planet Of The Apes,14802,13,7.83
Ghost In The Shell,14634,2,6
"Cheer Up, Mister Lee",14321,0,N/A
Kubo And The Two Strings,14234,7,7.17
The Angry Birds Movie 2,13968,0,N/A
Bố Già,13711,0,N/A
Power Rangers,13659,7,7.14
Ferdinand,13462,0,N/A
"[Preview] Kung Fu Panda 3: Một Hành Trình Mới, Hoành Tráng Hơn, Ý Nghĩa Hơn",13425,4,8.53
Nerve,13325,4,7.25
Cô Gái Từ Quá Khứ,13227,0,N/A
Mẹ Chồng,13058,0,N/A
Jumanji The Next Level,12912,0,N/A
Alienoid Cuộc Chiến Xuyên Không,12818,0,N/A
Deadpool,12760,8,8.69
Nắng 2,12592,9,6.29
Sắc Đẹp Ngàn Cân,12530,8,6.6
Ford V Ferrari,12495,0,N/A
Lời Nguyền Gia Tộc,12416,0,N/A
[Preview] Avengers 2: Siêu Bom Tấn Marvel Sẽ Càn Quét Tất Cả!,12409,1,10
Detective Conan Black Iron Submarine,12383,0,N/A
Frozen 2,12303,0,N/A
Maze Runner 3,12292,0,N/A
Arrival,12172,5,9.84
Inside Out,12167,2,6
Assassin‘s Creed,12048,10,7.3
Why Him,12018,1,10
The Promise,11555,0,N/A
Baby Driver,11416,4,9.5
I Can Speak,10811,2,8
Mèo Đi Hia 2,10661,0,N/A
Xưởng 13,10640,0,N/A
24H Yêu,10606,4,8.73
The Foreigner,10555,5,5.8
Jason Bourne,10525,1,10
Murder On The Orient Express,10483,0,N/A
Bridget Jones’s Baby,10363,2,10
Lật Mặt 5,10329,0,N/A
Jungle,10259,0,N/A
Ant-Man And The Wasp Quantumania,10257,0,N/A
Mai,10191,0,N/A
The Huntsman,10190,2,5.5
