Title,Views,Votes,Rating
Em Chưa 18,145669,88,7.92
Lật Mặt 2,114812,32,8.74
Guardians Of The Galaxy Vol.2,84823,26,7.38
Your Name,68094,20,9.14
Tây Du Ký 2,67146,16,7.53
Tấm Cám – Chuyện Chưa Kể,66983,43,7.95
Phù Thủy Tối Thượng,66969,25,9.23
Me Before You,64522,24,8.75
Biệt Đội Cảm Tử,63118,47,8.53
Nắng,61919,22,9.33
Mỹ Nhân Ngư,59972,23,8.09
Cướp Biển Vùng Caribe 5,59883,39,9.03
Train To Busan,54894,55,8.72
Wonder Woman,54117,36,7.22
IT,53069,24,8.86
Fifty Shades Darker,50981,6,7
Cô Hầu Gái,50126,22,7.58
Kong,48560,43,11.37
Logan,46829,46,9.39
Annabelle 2,42857,11,8.27
Split,42471,26,8.81
Tây Du Ký 2,42269,13,8.26
Dạ Cổ Hoài Lang,41012,11,9
Avengers 2,39715,3,8.67
Beauty And The Beast,39144,11,7.27
Gods of Egypt,38892,20,8.24
Bạn Gái Tôi Là Sếp,37737,10,7.65
Dị Nhân Chống Khải Huyền,37328,20,9.24
Nội Chiến Siêu Anh Hùng,37071,29,9.23
xXx Phản Đòn,36402,6,8.33
Alien Covenant,36027,9,8.49
Kingsman The Golden Cirle,35916,9,8.84
Fast 8,34699,11,8.18
Tôi Thấy Hoa Vàng Trên Cỏ Xanh,34575,10,8.42
The Conjuring 2,34166,27,8.62
John Wick,34140,39,9.03
Avengers Infinity War,33767,1,10
Now You See Me 2,33739,24,9.52
Chờ Em Đến Ngày Mai,32808,12,4.08
La La Land,32014,15,9.07
Mái Ấm Lạ Kỳ Của Cô Peregrine,30339,9,8.49
Cô Gái Đến Từ Hôm Qua,30266,22,9.24
"Love, Simon",28441,1,10
Don’t Breathe,27485,10,8.1
Mad Max 4,27437,1,10
Thor Ragnarok,27382,12,8.63
Sing,27257,23,9.43
Fast & Furious 7,27100,2,8
Cô Ba Sài Gòn,26309,5,6.84
Bad Genius,26158,14,8.89
Captain Marvel,25841,9,7.44
Moana,24463,8,7.81
4 Năm 2 Chàng 1 Tình Yêu,24291,18,6.6
Lights Out,24175,13,8.62
Detective Conan – The Darkest Nightmare,23690,11,9.18
Bao Giờ Có Yêu Nhau,23187,13,7.37
Cua Lại Vợ Bầu,22989,4,7.25
Happy Death Day,22031,6,8
Along With The Gods 2,21888,1,10
[Preivew] Ice Age: Phim Hoạt Hình Sống 3D “Dai” Nhất Lịch Sử,21876,6,8.67
The Mummy,21761,9,7.33
Spider-Man Into The Spider-Verse,21605,1,10
Chị Trợ Lý Của Anh,21524,3,8.67
Cho Em Gần Anh Thêm Chút Nữa,21408,10,7.93
Ngày Mai Mai Cưới,21385,7,5.71
John Wick 3,21145,12,8.75
Incredibles 2,20985,1,9
Khách Sạn Huyền Bí 3,20821,1,8
The Secret Life Of Pets,20799,6,10
Diệp Vấn 3,20703,5,9.6
Yêu Đi Đừng Sợ,20609,9,6.07
Avengers Endgame,20246,27,6.93
The Boss Baby,20180,11,9
Fantastic Beasts And Where To Find Them,20096,38,9.36
Angry Birds,19981,6,8.83
Insidious 3,19742,3,9.33
Resident Evil The Final Chapter,19723,12,8.32
Trùm Hương Cảng,19475,6,8.67
Hồn Papa Da Con Gái,19289,2,7.5
Aquaman,19261,2,8.5
Hùng Ali,19085,8,7.25
Sài Gòn Anh Yêu Em,18875,8,8.51
Before I Wake,18316,12,8.35
Chí Phèo Ngoại Truyện,18198,6,8.5
Dark Phoenix,18036,4,1
Jurassic World,17957,1,8
Flatliners,17904,3,9.67
Kung Fu Panda 3,17901,5,9.44
Vu Quy Đại Náo,17816,4,9.75
Lật Mặt Nhà Có Khách,17771,53,6.3
Điệp Vụ Tam Giác Vàng,17626,4,6.78
The Huntsman Winter's War,17408,8,6.6
Thám Tử Hên Ry,17395,3,6
Vợ Ơi… Em Ở Đâu?,16989,12,7.14
Ant-Man And The Wasp,16975,1,10
Finding Dory,16897,13,8.52
Shazam!,16618,20,7.45
Lô Tô,16404,8,8
Aladdin,15973,11,6.27
Zootopia,15798,21,8.76
Spider-Man,15577,7,7.74
Fan Cuồng,15207,2,7.5
Ice Age,15092,3,9.67
Blade Runner 2049,15050,4,6.28
Independence Day- Resurgence,14937,7,9.17
Life,14906,6,9.33
Allied,14878,2,9.5
War For The Planet Of The Apes,14802,13,7.83
Ghost In The Shell,14634,2,6
Kubo And The Two Strings,14234,7,7.17
Power Rangers,13659,7,7.14
Kung Fu Panda 3,13425,4,8.53
Nerve,13325,4,7.25
Deadpool,12760,8,8.69
Nắng 2,12592,9,6.29
Sắc Đẹp Ngàn Cân,12530,8,6.6
Avengers 2,12409,1,10
Arrival,12172,5,9.84
Inside Out,12167,2,6
Assassin‘s Creed,12048,10,7.3
Why Him,12018,1,10
Baby Driver,11416,4,9.5
I Can Speak,10811,2,8
24H Yêu,10606,4,8.73
The Foreigner,10555,5,5.8
Jason Bourne,10525,1,10
Bridget Jones’s Baby,10363,2,10
The Huntsman,10190,2,5.5
Ghostbusters,9998,3,8.33
Ant-Man,9987,1,8
Despicable Me 3,9934,6,9.83
Inferno,9881,3,8.67
Crimson Peak,9733,1,7
The Man From U.N.C.L.E,9597,5,8.8
Jupiter Ascending,9586,1,1
Mission Impossible 5,9472,3,8.67
Star Wars The Force Awakens,9287,7,7.17
Batman v Superman,9145,11,9
Ouija 2,9111,6,6.83
Home,8968,1,9
The Magnificent Seven,8444,1,10
Vệ Sĩ Sài Gòn,8289,8,7.29
Vòng Eo 56,7949,7,4.89
Regression,7586,3,6
Snowden,7248,2,9.5
Goosebumps,6398,1,10
Trolls,6245,1,9
Dragon Blade,6207,1,7
Spectre,4720,2,10
The Scotch Trials,4643,2,8
Đại Chiến Pixels,3888,2,9.5
