tconst,primaryTitle,originalTitle,startYear,runtimeMinutes,genres,averageRating,numVotes
tt5655954,Vetrivel,Vetrivel,2016,141,Drama,6.3,427
tt0062046,"Make Love, Not War","Non faccio la guerra, faccio l'amore",1966,87,Comedy,5.2,30
tt3414164,"Dead Teobaldo, Exiled Romeo","Teobaldo Morto, Romeu Exilado",2015,118,Drama,6.0,22
tt7389864,Greetings from Krampus,Greetings from Krampus,2018,95,Documentary,8.4,16
tt2925388,Lazar,Lazar,2015,98,"Crime,Drama,Thriller",5.8,200
tt0103977,Claire of the Moon,Claire of the Moon,1992,107,"Drama,Romance",5.1,1138
tt13404996,Steel-Man,Steel-Man,2022,133,"Action,Comedy,Horror",6.2,14
tt1079968,Jack and the Beanstalk,Jack and the Beanstalk,2009,94,"Adventure,Comedy,Family",4.6,2238
tt18765420,Curse of the Re-Animator,Curse of the Re-Animator,2022,49,"Horror,Sci-Fi",5.3,100
tt0022971,The Half-Naked Truth,The Half Naked Truth,1932,77,"Comedy,Romance",6.1,728
tt1841615,Italiani,Italiani,2011,62,Drama,4.2,14
tt2083925,Ami Aadu,Ami Aadu,2010,117,"Family,War",7.4,64
tt0123054,Changed Man,Elcserélt ember,1938,85,Drama,7.4,24
tt33728713,Kayip Kamyon,Kayip Kamyon,2024,\N,"Drama,Family",4.7,26
tt28359277,#AAY,#AAY,2024,142,Comedy,6.4,834
tt0253842,Troublesome Night 7,Yam yeung lo 7: Chong dou zing,2000,93,"Comedy,Horror",4.5,92
tt0130073,Legal Deceit,Legal Deceit,1997,93,Thriller,3.3,84
tt5592298,Storm Over the Yangtse River,Yang Zi Jiang feng yun,1969,111,"Drama,Thriller,War",7.4,24
tt12174952,The Haunting of M.R. James,The Haunting of M.R. James,2018,57,Horror,5.2,26
tt0239522,Keep Breathing,Keep Breathing,2000,95,Drama,5.5,30
tt5998744,S Storm,'S' fung bou,2016,95,"Action,Crime",5.1,853
tt0055579,Usted puede ser un asesino,Usted puede ser un asesino,1961,96,Comedy,6.1,177
tt0195780,The Hidden Code,The Hidden Code,1920,\N,Adventure,5.2,19
tt0118702,Best Men,Best Men,1997,90,"Action,Comedy,Crime",5.5,3207
tt1630241,Going Our Way,Gremo mi po svoje,2010,93,"Adventure,Comedy,Family",6.4,1049
tt2096589,Saradaga Kasepu,Saradaga Kasepu,2010,125,Comedy,5.5,103
tt7150512,2040,2040,2019,92,Documentary,7.1,1507
tt1059238,Unborn in the USA: Inside the War on Abortion,Unborn in the USA: Inside the War on Abortion,2007,101,Documentary,6.4,169
tt2506748,.357,.357,2013,97,"Action,Drama",3.7,136
tt5541186,Trust,Trust,2018,92,Drama,5.9,168
tt0214665,"One Flower, Two Gardeners",Ek Phool Do Mali,1969,150,"Drama,Family",6.9,295
tt0019549,Warming Up,Warming Up,1928,80,"Comedy,Romance",5.4,20
tt0070283,Ladies and Gentlemen: The Rolling Stones,Ladies and Gentlemen: The Rolling Stones,1973,90,"Documentary,Music",7.9,820
tt0109641,Doc's Full Service,Doc's Full Service,1994,85,"Comedy,Drama",6.9,23
tt7093904,Dragonkeeper,Dragonkeeper,2024,98,"Adventure,Animation,Fantasy",5.7,1984
tt8097602,After the Wave,After the Wave,2014,81,Documentary,7.5,40
tt0222054,John the Fearless,Jan zonder vrees,1984,78,"Adventure,Animation,Crime",7.1,262
tt0232478,Promithefs desmotis,Promithefs desmotis,1927,\N,Drama,6.0,10
tt0312649,The Elegant Life of Mr. Everyman,Eburi manshi no yûga na seikatsu,1963,103,"Comedy,Drama",7.0,339
tt0099310,Coupe de Ville,Coupe de Ville,1990,99,"Comedy,Drama",6.7,2745
tt7445682,Star Light,Star Light,2020,90,Horror,4.0,337
tt0089949,Lonely Heart,Sabishinbô,1985,112,"Comedy,Fantasy,Romance",7.3,451
tt10964468,Shakuntala Devi,Shakuntala Devi,2020,127,"Biography,Drama",6.2,9974
tt5124454,Joi no kiroku,Joi no kiroku,1941,96,Drama,6.3,33
tt14188780,Selamat Hari X Jadi,Selamat Hari X Jadi,2021,87,"Comedy,Horror,Mystery",4.9,25
tt3687898,Palace of Fun,Palace of Fun,2016,80,"Crime,Romance",4.3,179
tt0477869,Silahlar Susmasin,Silahlar Susmasin,1971,\N,\N,8.0,10
tt0065586,Secret Life of a Schoolgirl Wife,Cream - Schwabing-Report,1971,85,"Comedy,Drama",3.7,65
tt0264147,Sandstorm,Rih al-raml,1982,103,Drama,5.2,35
tt2393707,Aparajita Tumi,Aparajita Tumi,2012,130,Drama,6.3,276
tt0008797,Young Mother Hubbard,Young Mother Hubbard,1917,73,Drama,6.5,31
tt1439556,Hunting Down Memory,Jakten på hukommelsen,2009,80,"Adventure,Biography,Documentary",7.0,57
tt0425324,A One Time Thing,A One Time Thing,2004,104,Comedy,8.6,40
tt2631296,Albertov Put,Albertov Put,2013,60,"Biography,Documentary,History",8.9,15
tt0264335,Addicted to Murder 3: Blood Lust,Addicted to Murder 3: Blood Lust,2000,85,Horror,4.7,67
tt0449086,Dominion: Prequel to the Exorcist,Dominion: Prequel to the Exorcist,2005,117,"Drama,Horror,Thriller",5.1,14593
tt21634312,Moskva-Baki Qatari,Moskva-Baki Qatari,2005,\N,Comedy,6.7,9
tt0778671,Director's Cut,Director's Cut,2006,89,Horror,3.4,143
tt0087352,Law with Two Phases,Gung buk,1984,95,"Action,Crime,Drama",6.7,141
tt0272049,"Girls, Girls, Girls 2",Les clientes,1983,80,Adult,5.9,59
tt1754843,Villain and Widow,Yicheungui akdang,2010,115,"Comedy,Crime,Romance",6.3,285
tt0056023,Girls! Girls! Girls!,Girls! Girls! Girls!,1962,106,"Comedy,Musical",5.6,3857
tt27667802,Kisses and Bullets,Kisses and Bullets,2023,69,"Crime,Drama",5.7,10
tt0074214,Black Shampoo,Black Shampoo,1976,85,"Action,Comedy,Crime",4.7,1059
tt6614334,Escaping Freedom,Escaping Freedom,2020,139,"Drama,Romance",5.2,137
tt0130569,The Comic Strip Hits 100,La bande dessinée a 100 ans,1996,\N,Documentary,6.3,10
tt5680476,Yagmurlarda Yikansam,Yagmurlarda Yikansam,2016,89,Drama,4.3,147
tt0080164,Your Ticket Is No Longer Valid,Your Ticket Is No Longer Valid,1981,92,Drama,4.6,154
tt0079207,Giallo in Venice,Giallo a Venezia,1979,98,"Crime,Horror,Mystery",5.1,1494
tt5860830,The Dreams of Rene Sendam,The Dreams of Rene Sendam,2022,78,Drama,6.2,14
tt5958182,Sunday Night,Sunday Night,2017,110,"Crime,Mystery,Thriller",8.0,9
tt0972800,Detective,Detective,2007,\N,"Action,Crime,Mystery",7.0,690
tt1242841,Road to Santiago,Al final del camino,2009,100,"Comedy,Romance",4.9,594
tt1297282,The Lady and the Taxi Driver,The Lady and the Taxi Driver,2011,60,"Comedy,Drama",5.1,12
tt0419692,Disconnect,Disconnect,2010,112,"Drama,Mystery,Sci-Fi",4.5,290
tt28089939,The Other One,The Other One,2024,85,Documentary,7.4,16
tt0404248,Mr. Smithereen Goes to Washington,Mr. Smithereen Goes to Washington,2001,94,"Documentary,Music",8.2,16
tt11479534,Mamma the spirit,Mamma the spirit,2022,76,Horror,8.2,18
tt1573482,Striker,Striker,2010,128,"Action,Crime,Drama",6.9,1097
tt12529132,Killing Angel Muhan,Killing Angel Muhan,1995,83,Action,6.1,9
tt11342846,Reel Rock 14,Reel Rock 14,2019,102,"Adventure,Documentary,Sport",8.2,246
tt0087771,Na strazy swej stac bede,Na strazy swej stac bede,1984,104,"Action,Drama,War",5.6,24
tt0777962,Not by Bread Alone,Ne khlebom edinym,2005,112,Drama,6.6,161
tt35252261,Mrigaya: The Hunt,Mrigaya: The Hunt,2025,125,"Action,Thriller",7.5,79
tt13061616,Barefoot on the Gold Bridge,Barefoot on the Gold Bridge,1976,120,"Crime,Drama,Romance",6.6,58
tt3828488,Salam Neighbor,Salam Neighbor,2015,75,"Adventure,Documentary,Drama",7.4,595
tt3377798,6 Minutes of Death,The Library,2013,70,Sci-Fi,2.8,455
